id,date,interest,outstanding_principle,outstanding_interest,principle_overdue,interest_overdue
1,02/01/2003,2.1917808219186554,10002.191780821919,2.191780821917808,0,0
2,03/01/2003,2.1917808219186554,10002.191780821919,4.384042034152749,0,0
3,04/01/2003,2.1917808219186554,10002.191780821919,6.57630324638769,0,0
4,05/01/2003,2.1917808219186554,10002.191780821919,8.768564458622631,0,0
5,06/01/2003,2.1917808219186554,10002.191780821919,10.960825670857572,0,0
6,07/01/2003,2.1917808219186554,10002.191780821919,13.153086883092513,0,0
7,08/01/2003,2.1917808219186554,10002.191780821919,15.345348095327454,0,0
8,09/01/2003,2.1917808219186554,10002.191780821919,17.537609307562395,0,0
9,10/01/2003,2.1917808219186554,10002.191780821919,19.729870519797338,0,0
10,11/01/2003,2.1917808219186554,10002.191780821919,21.922131732032277,0,0
11,12/01/2003,2.1917808219186554,10002.191780821919,24.114392944267216,0,0
12,13/01/2003,2.1917808219186554,10002.191780821919,26.306654156502155,0,0
13,14/01/2003,2.1917808219186554,10002.191780821919,28.498915368737094,0,0
14,15/01/2003,2.1917808219186554,10002.191780821919,30.691176580972034,0,0
15,16/01/2003,2.1917808219186554,10002.191780821919,32.88343779320697,0,0
16,17/01/2003,2.1917808219186554,10002.191780821919,35.07569900544191,0,0
17,18/01/2003,2.1917808219186554,10002.191780821919,37.26796021767685,0,0
18,19/01/2003,2.1917808219186554,10002.191780821919,39.46022142991179,0,0
19,20/01/2003,2.1917808219186554,10002.191780821919,41.65248264214673,0,0
20,21/01/2003,2.1917808219186554,10002.191780821919,43.84474385438167,0,0
21,22/01/2003,2.1917808219186554,10002.191780821919,46.03700506661661,0,0
22,23/01/2003,2.1917808219186554,10002.191780821919,48.22926627885155,0,0
23,24/01/2003,2.1917808219186554,10002.191780821919,50.421527491086486,0,0
24,25/01/2003,2.1917808219186554,10002.191780821919,52.613788703321426,0,0
25,26/01/2003,2.1917808219186554,10002.191780821919,54.806049915556365,0,0
26,27/01/2003,2.1917808219186554,10002.191780821919,56.998311127791304,0,0
27,28/01/2003,2.1917808219186554,10002.191780821919,59.19057234002624,0,0
28,29/01/2003,2.1917808219186554,10002.191780821919,61.38283355226118,0,0
29,30/01/2003,2.1917808219186554,10002.191780821919,63.57509476449612,0,0
30,31/01/2003,2.1917808219186554,10002.191780821919,65.76735597673107,0,0
